piezometer_id,cluster_id,window_months,event_id,start,end,duration_months,minimum_date,minimum_sgi,severity_signed,severity_deficit,mean_intensity,recovery_date,recovery_months,recovered
II/1275/1,2,6,1,2014-01-01,2014-08-01,8,2014-01-01,-1.9379315108528288,-15.409749343633544,15.409749343633544,-1.926218667954193,2014-09-01,8,True
II/1275/1,2,6,2,2015-08-01,2016-07-01,12,2015-12-01,-1.9379315108528288,-14.01103939164038,14.01103939164038,-1.1675866159700317,2016-10-01,10,True
II/1275/1,2,6,3,2018-01-01,2018-07-01,7,2018-01-01,-1.4121875789061642,-9.79773269692657,9.79773269692657,-1.3996760995609385,2018-08-01,7,True
II/1275/1,2,6,4,2019-08-01,2019-12-01,5,2019-09-01,-1.9145058250555573,-8.245469983329869,8.245469983329869,-1.649093996665974,2020-10-01,13,True
II/1275/1,2,6,5,2022-09-01,2022-12-01,4,2022-12-01,-1.4121875789061642,-5.561169960208079,5.561169960208079,-1.3902924900520197,2023-05-01,5,True
II/1275/1,2,12,1,2014-01-01,2015-02-01,14,2014-02-01,-1.9145058250555573,-25.417393071121957,25.417393071121957,-1.8155280765087112,2015-05-01,15,True
II/1275/1,2,12,2,2016-03-01,2016-09-01,7,2016-03-01,-1.0853249080767589,-7.561080846424523,7.561080846424523,-1.0801544066320747,2016-10-01,7,True
II/1275/1,2,12,3,2018-02-01,2019-01-01,12,2018-02-01,-1.382994127100638,-16.2669684190138,16.2669684190138,-1.3555807015844834,2019-02-01,12,True
II/1275/1,2,12,4,2019-10-01,2019-12-01,3,2019-10-01,-1.0853249080767589,-3.255974724230277,3.255974724230277,-1.0853249080767589,2020-09-01,11,True
II/1276/1,1,3,1,2014-01-01,2014-11-01,11,2014-01-01,-1.9379315108528288,-21.22354387619203,21.22354387619203,-1.9294130796538207,2014-12-01,11,True
II/1276/1,1,3,2,2021-12-01,2021-12-01,1,2021-12-01,-1.11895838106256,-1.11895838106256,1.11895838106256,-1.11895838106256,,,False
II/1276/1,1,3,3,2022-04-01,2024-03-01,24,2023-12-01,-1.9379315108528288,-30.94141695024965,30.94141695024965,-1.289225706260402,,,False
II/1276/1,1,6,1,2014-01-01,2015-02-01,14,2014-02-01,-1.9379315108528288,-25.91557348746537,25.91557348746537,-1.8511123919618122,2015-03-01,13,True
II/1276/1,1,6,2,2022-05-01,2022-12-01,8,2022-12-01,-1.11895838106256,-8.71623273759987,8.71623273759987,-1.0895290921999838,,,False
II/1276/1,1,6,3,2023-03-01,2024-04-01,14,2023-03-01,-1.4121875789061642,-18.393355150673194,18.393355150673194,-1.3138110821909426,,,False
II/1276/1,1,12,1,2014-01-01,2015-08-01,20,2014-06-01,-1.9145058250555573,-33.981735165579686,33.981735165579686,-1.6990867582789844,2015-09-01,15,True
II/1276/1,1,12,2,2022-09-01,2022-12-01,4,2022-09-01,-1.0853249080767589,-4.341299632307035,4.341299632307035,-1.0853249080767589,,,False
II/1276/1,1,12,3,2023-05-01,2024-04-01,12,2023-09-01,-1.382994127100638,-14.178382262903835,14.178382262903835,-1.1815318552419862,,,False
II/1285/1,1,3,1,2022-05-01,2024-04-01,24,2023-05-01,-1.6448536269514729,-32.175444197343154,32.175444197343154,-1.3406435082226313,,,False
II/1285/1,1,6,1,2022-08-01,2024-04-01,21,2023-08-01,-1.6448536269514729,-28.91123960207652,28.91123960207652,-1.376725695336977,,,False
II/1285/1,1,12,1,2023-02-01,2024-04-01,15,2024-02-01,-1.6448536269514729,-22.382830411543246,22.382830411543246,-1.492188694102883,,,False
II/521/1,2,3,1,1989-09-01,1989-12-01,4,1989-11-01,-1.1669186011353172,-4.634535963022651,4.634535963022651,-1.1586339907556626,1990-07-01,8,True
II/521/1,2,3,2,1990-04-01,1990-05-01,2,1990-04-01,-1.0245923925400984,-2.030862378400938,2.030862378400938,-1.015431189200469,1990-07-01,3,True
II/521/1,2,3,3,1991-04-01,1991-06-01,3,1991-05-01,-1.3676279233156883,-3.5425696962317943,3.5425696962317943,-1.180856565410598,1991-08-01,3,True
II/521/1,2,3,4,1992-01-01,1992-05-01,5,1992-02-01,-1.4941549086209047,-6.660698153618993,6.660698153618993,-1.3321396307237987,1993-09-01,19,True
II/521/1,2,3,5,1992-07-01,1992-11-01,5,1992-09-01,-2.2004105812100323,-7.334741055432566,7.334741055432566,-1.4669482110865133,1993-09-01,12,True
II/521/1,2,3,6,1993-01-01,1993-06-01,6,1993-02-01,-2.211127241085327,-11.58003663010208,11.58003663010208,-1.9300061050170134,1993-09-01,7,True
II/521/1,2,3,7,1996-03-01,1996-03-01,1,1996-03-01,-1.1669186011353172,-1.1669186011353172,1.1669186011353172,-1.1669186011353172,1996-05-01,2,True
II/521/1,2,3,8,1997-02-01,1997-03-01,2,1997-02-01,-1.1669186011353172,-2.2091653429677263,2.2091653429677263,-1.1045826714838631,1997-08-01,6,True
II/521/1,2,3,9,2000-06-01,2000-08-01,3,2000-08-01,-2.2004105812100323,-6.121424732854362,6.121424732854362,-2.040474910951454,2001-04-01,8,True
II/521/1,2,3,10,2003-06-01,2004-02-01,9,2003-11-01,-1.7444475421409686,-13.568015717637376,13.568015717637376,-1.5075573019597084,2004-06-01,7,True
II/521/1,2,3,11,2005-11-01,2006-04-01,6,2006-04-01,-2.2004105812100323,-9.552438477738312,9.552438477738312,-1.592073079623052,,,False
II/521/1,2,3,12,2015-08-01,2016-07-01,12,2016-01-01,-2.221519588337837,-18.830140122388478,18.830140122388478,-1.5691783435323732,2016-11-01,10,True
II/521/1,2,3,13,2019-07-01,2020-01-01,7,2019-11-01,-2.211127241085327,-11.252211960876616,11.252211960876616,-1.6074588515538024,2020-07-01,8,True
II/521/1,2,3,14,2020-05-01,2020-06-01,2,2020-05-01,-1.3676279233156883,-2.517977303691696,2.517977303691696,-1.258988651845848,2020-07-01,2,True
II/521/1,2,3,15,2022-12-01,2022-12-01,1,2022-12-01,-1.042246741832409,-1.042246741832409,1.042246741832409,-1.042246741832409,2023-03-01,3,True
II/521/1,2,3,16,2023-07-01,2023-10-01,4,2023-08-01,-1.2975429286165534,-4.8988987717105,4.8988987717105,-1.224724692927625,2024-01-01,5,True
II/521/1,2,6,1,1989-12-01,1990-01-01,2,1989-12-01,-1.1503493803760079,-2.3006987607520157,2.3006987607520157,-1.1503493803760079,1990-07-01,7,True
II/521/1,2,6,2,1992-02-01,1993-07-01,18,1993-02-01,-2.2004105812100323,-29.67736767814105,29.67736767814105,-1.6487426487856138,1993-10-01,8,True
II/521/1,2,6,3,1997-05-01,1997-06-01,2,1997-06-01,-1.2649692448841479,-2.3803066026179343,2.3803066026179343,-1.1901533013089671,1997-08-01,2,True
